tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt12198014,tvSeries,Little Demon,Little Demon,0,2022,2022,26,"Animation, Comedy, Horror",7.0,5322
tt1219817,tvMiniSeries,Going Postal,Going Postal,0,2010,2010,93,"Adventure, Comedy, Fantasy",7.6,10027
tt12199174,tvSeries,The Rebel,Pan ni zhe,0,2021,2021,45,"Drama, History, Mystery",8.3,180
tt12199544,tvSeries,Reunion: The Sound of the Providence,Chong qi zhi ji hai ting lei,0,2020,,45,"Action, Adventure, Drama",7.8,242
tt1219972,tvSeries,Headcases,Headcases,0,2008,,30,"Animation, Comedy",6.2,148
tt12200714,tvSeries,The Big Flower Fight,The Big Flower Fight,0,2020,,,Reality-TV,7.4,1458
tt1220111,tvSeries,Spooks: Code 9,Spooks: Code 9,0,2008,2008,,"Action, Drama",5.2,516
tt1220137,tvSeries,Time,Time,0,2006,,60,Documentary,7.6,97
tt12203396,tvSeries,Warten auf'n Bus,Warten auf'n Bus,0,2020,,45,"Comedy, Drama",7.7,217
tt12204002,tvSeries,Why R U?,Why R U?,0,2020,2020,65,"Drama, Romance",7.4,1388
tt12204302,tvSeries,Paranormal Nightshift,Paranormal Nightshift,0,2020,,,Thriller,7.1,104
tt12204636,tvSeries,Buried Secrets of the Bible with Albert Lin,Buried Secrets of the Bible with Albert Lin,0,2019,,90,"Documentary, History",6.7,370
tt12204810,tvSeries,The End,Al Nehaya,0,2020,2020,,"Action, Drama, Mystery",7.1,2178
tt12205722,tvSeries,Hip Hop: The Songs That Shook America,Hip Hop: The Songs That Shook America,0,2019,2019,60,"Documentary, Music",7.9,78
tt1220617,tvSeries,The Inbetweeners,The Inbetweeners,0,2008,2010,25,Comedy,8.4,96841
tt1220619,tvMiniSeries,Tiger: Spy in the Jungle,Tiger: Spy in the Jungle,0,2008,2008,60,Documentary,8.4,662
tt12207704,tvSeries,Hundred,Hundred,0,2020,2020,30,"Comedy, Drama",6.7,872
tt1220859,tvSeries,Storm Over Paradise,Tormenta en el paraíso,0,2007,2008,60,Drama,7.4,195
tt12210232,tvSeries,My Murder Story,My Murder Story,0,2020,2020,,Crime,6.4,21
tt12210312,tvSeries,Zlociny Velké Prahy,Zlociny Velké Prahy,0,2020,2021,50,"Crime, History, Mystery",6.8,208
tt12211774,tvSeries,Cápák között,Cápák között,0,2019,,60,"Game-Show, Talk-Show",7.4,102
tt12212014,tvSeries,Amy Schumer Learns to Cook,Amy Schumer Learns to Cook,0,2020,2020,25,Reality-TV,5.5,846
tt12212132,tvSeries,Friday Night in with the Morgans,Friday Night in with the Morgans,0,2020,2020,22,Talk-Show,8.3,74
tt1221224,tvMiniSeries,Rome: Rise and Fall of an Empire,Rome: Rise and Fall of an Empire,0,2008,2008,60,"Documentary, History, War",7.7,884
tt12216634,tvMiniSeries,"How's Your Head, Hun?","How's Your Head, Hun?",0,2020,,,Reality-TV,8.1,42
tt12216996,tvMiniSeries,Comedians: Home Alone,Comedians: Home Alone,0,2020,,14,Comedy,4.6,21
tt12217162,tvMiniSeries,Squeamish About ...,Squeamish About ...,0,2020,2020,15,Comedy,6.8,76
tt12217712,tvSeries,Skoro Na Mizine,Skoro Na Mizine,0,2020,,,"Comedy, Short",7.6,49
tt12221578,tvSeries,Beat the Chasers,Beat the Chasers,0,2020,,60,Game-Show,7.5,220
tt12221602,tvMiniSeries,10 Years with Hayao Miyazaki,10 Years with Hayao Miyazaki,0,2019,2019,196,Documentary,8.2,364
tt12221608,tvSeries,Reunited Apart,Reunited Apart,0,2020,,,Talk-Show,8.4,105
tt12222224,tvSeries,The Choice,The Choice,0,2020,2022,50,"Action, Biography, Drama",6.9,1784
tt12222848,tvMiniSeries,Primates,Primates,0,2020,2020,58,Documentary,8.0,153
tt12223458,tvSeries,Anandham,Anandham,0,2003,2009,22,Drama,8.4,27
tt12223718,tvMiniSeries,Le temps des ouvriers,Le temps des ouvriers,0,2020,2020,,"Documentary, History, War",7.7,83
tt12225230,tvSeries,"Doogie Kamealoha, M.D.","Doogie Kamealoha, M.D.",0,2021,2023,30,"Comedy, Drama, Family",7.0,3516
tt12225618,tvSeries,Erin & Aaron,Erin & Aaron,0,2023,2023,25,"Comedy, Drama, Family",5.3,399
tt1222663,tvMiniSeries,Woke Up Dead,Woke Up Dead,0,2009,2009,4,"Comedy, Horror",4.3,567
tt12226680,tvSeries,Fixer to Fabulous,Fixer to Fabulous,0,2019,,,Reality-TV,8.0,507
tt12226696,tvSeries,LaLiga,LaLiga,0,1929,,,Sport,7.4,66
tt12227418,tvSeries,The God of High School,The God of High School,0,2020,2020,24,"Action, Adventure, Animation",7.2,8506
tt12227936,tvMiniSeries,Paul Hollywood Eats Japan,Paul Hollywood Eats Japan,0,2020,2020,60,Documentary,6.9,144
tt12228120,tvSeries,Ancient Love Poetry,Qian gu jue chen,0,2021,,45,"Action, Fantasy, Romance",7.8,718
tt12228334,tvSeries,The Prince,The Prince,0,2020,2020,,Drama,6.7,1040
tt12228692,tvSeries,Multifaceted,Multifaceted,0,2020,2020,,"Comedy, Drama, Thriller",8.0,2379
tt12234408,tvSeries,Air Crash Investigation Special Report,Air Crash Investigation Special Report,0,2018,,,"Documentary, Drama",8.6,146
tt12235718,tvSeries,Hellbound,Jiok,0,2021,2024,25,"Crime, Drama, Fantasy",6.6,31146
tt1223620,tvSeries,Jonas Brothers: Living the Dream,Jonas Brothers: Living the Dream,0,2008,,,Reality-TV,4.5,259
tt12237066,tvSeries,Labor of Love,Labor of Love,0,2020,,,Reality-TV,4.1,201
tt12237980,tvMiniSeries,Ramez is Officially Crazy,Ramez is Officially Crazy,0,2020,,25,"Comedy, Reality-TV, Short",4.1,182
tt1223917,tvSeries,In the Face of Crime,Im Angesicht des Verbrechens,0,2010,2010,479,"Crime, Drama, Thriller",8.0,1698
tt12239316,tvSeries,Gáspár Bödör was once in Buda,Egyszer volt Budán Bödör Gáspár,0,2020,2020,60,Comedy,1.3,229
tt1224033,tvSeries,Jack Hanna's Into the Wild,Jack Hanna's Into the Wild,0,2007,2020,,"Adventure, Documentary, Family",8.2,84
tt1224142,tvSeries,Beyaz Show,Beyaz Show,0,1996,2018,120,Talk-Show,7.2,9848
tt1224144,tvSeries,Reborn!,Katei Kyoshi Hitman Reborn!,0,2006,2010,,"Action, Animation, Comedy",7.6,1839
tt1224277,tvSeries,Million Dollar Password,Million Dollar Password,0,2008,2009,,"Family, Game-Show",6.6,138
tt1224381,tvSeries,"Big, Bigger, Biggest","Big, Bigger, Biggest",0,2008,2011,,Documentary,7.9,356
tt1224387,tvMiniSeries,Carrier,Carrier,0,2008,,,Documentary,8.4,646
tt12244950,tvSeries,Taste the Nation with Padma Lakshmi,Taste the Nation with Padma Lakshmi,0,2020,,30,"Adventure, Reality-TV",8.1,753
tt12245570,tvSeries,Windows Destruction,Windows Destruction,0,2014,,,Comedy,9.4,52
tt12245638,tvSeries,Ordem Paranormal,Ordem Paranormal,0,2020,,240,"Adventure, Drama, Horror",9.2,2077
tt12246190,tvSeries,Mystic Pop-up Bar,Ssanggabpocha,0,2020,2020,70,"Comedy, Fantasy, Mystery",8.0,3308
